program_id,piid_pattern,ref_agency_id,priority,match_note
va_pharmaceutical_prime_vendor,36W79720D%,3600,10,"VA PPV current stem"
va_pharmaceutical_prime_vendor,VA797P12D%,3600,10,"VA PPV stem"
va_pharmaceutical_prime_vendor,VA797P12C%,3600,10,"VA PPV legacy contract"
va_pharmaceutical_prime_vendor,V797P%,3600,20,"Legacy V797P PPV variants"
va_community_care_network,36C79119D%,3600,30,"VA CCN region stems"
va_community_care_network,36C10G19D0038%,3600,30,"VA CCN region 4 single stem"
va_patient_centered_community_care,VA79113D%,3600,40,"VA PCCC stem"
va_medical_disability_examinations,36C10X19D%,3600,50,"VA MDE 2019 stems"
va_medical_disability_examinations,36C10X22D%,3600,50,"VA MDE 2022 stems"
va_medical_disability_examinations,36C10X23D%,3600,50,"VA MDE 2023 stems"
va_medical_disability_examinations,36C10X25D%,3600,50,"VA MDE 2025 stems"
va_t4ng,VA11816D%,3600,60,"VA T4NG stems"
va_ehrm,36C10B18D5000%,3600,70,"VA EHRM single-award stem"
gsa_alliant_2,47QTCK18D%,4732,100,"Alliant 2 GWAC stems"
gsa_alliant,GS00Q09BGD%,4732,110,"Alliant GWAC stems"
gsa_oasis_unrestricted,GS00Q14OADU%,4732,120,"OASIS unrestricted stems"
gsa_oasis_small_business,GS00Q14OADS%,4732,120,"OASIS small-business stems"
gsa_eis,GS00Q17NSD%,4732,130,"EIS stems"
gsa_astro,47QFCA22D%,4732,140,"ASTRO stems"
gsa_mas,GS%,4730,900,"Broad GSA/FAS schedule catchall after specific GWAC and IDIQ matches"
gsa_mas,GS%,4732,900,"Broad GSA/FAS schedule catchall after specific GWAC and IDIQ matches"
nasa_sewp_v,NNG15S%,8000,150,"SEWP V stems across pool/group variants"
nasa_jpl_ffrdc,NAS703001%,8000,160,"JPL sponsorship agreement"
nasa_jpl_ffrdc,NNN12AA01C%,8000,160,"JPL successor sponsorship agreement"
nasa_jpl_ffrdc,80NM0018D0004%,8000,160,"JPL sponsorship agreement variant"
nih_cio_sp3,HHSN3162012%,7529,170,"CIO-SP3 stems"
dod_seaport_nxg,N0017819D%,1700,180,"SeaPort-NxG stems"
dla_pharmaceutical_prime_vendor,SPM2DX%,97AS,190,"DLA pharmaceutical prime-vendor stems"
dla_pharmaceutical_prime_vendor,SPE2DX%,97AS,190,"DLA pharmaceutical prime-vendor stems"
dla_operational_equipment_ist,SPE8EJ%,97AS,200,"DLA operational equipment stems"
usaid_gshc_psm,AIDOAAI15%,7200,210,"USAID GSHC PSM stem"
cbp_southwest_border_construction,70B01C26D000000%,7014,220,"CBP southwest border construction MA-IDIQ"
mobility_craf,HTC71118DCC%,9776,230,"CRAF stems"
ussocom_sof_glss,H9225417D0001%,9768,240,"SOF GLSS exact stem"
usaf_c17_gisp,FA852612D%,5700,250,"C-17 GISP stem"
usaf_c130j_ordering,FA862516D%,5700,260,"C-130J ordering stem"
usaf_f15ex,FA863420D%,5700,270,"F-15EX stem"
usaf_jdam,FA821315D%,5700,280,"JDAM stem"
usaf_lincoln_laboratory_ffrdc,FA870215D0001%,5700,290,"MIT Lincoln Laboratory sponsorship agreement"
