program_id,program_name,program_short_name,program_family,owning_agency_id,owning_agency_name,is_governmentwide,successor_program_id,name_source,notes
va_pharmaceutical_prime_vendor,VA Pharmaceutical Prime Vendor,VA PPV,IDIQ,3600,"VETERANS AFFAIRS, DEPARTMENT OF",false,,curated,"VA pharmaceutical prime-vendor contracts; includes legacy V797P variants."
va_community_care_network,VA Community Care Network,VA CCN,IDIQ,3600,"VETERANS AFFAIRS, DEPARTMENT OF",false,,curated,"Region-specific CCN contracts grouped to one analytical program for step-2 curation."
va_patient_centered_community_care,VA Patient Centered Community Care,VA PCCC,IDIQ,3600,"VETERANS AFFAIRS, DEPARTMENT OF",false,,curated,"Legacy VA patient-centered community care vehicle preceding CCN."
va_medical_disability_examinations,VA Medical Disability Examinations,MDE,IDIQ,3600,"VETERANS AFFAIRS, DEPARTMENT OF",false,,curated,"Medical disability examination contracts captured in the ATOM feed as MDE / VBA exam vehicles."
va_t4ng,Transformation Twenty-One Total Technology Next Generation,T4NG,IDIQ,3600,"VETERANS AFFAIRS, DEPARTMENT OF",false,,curated,"VA flagship IT services vehicle."
va_ehrm,VA Electronic Health Record Modernization,EHRM,IDIQ,3600,"VETERANS AFFAIRS, DEPARTMENT OF",false,,curated,"Single-award EHR modernization IDIQ."
gsa_alliant,Alliant,GWAC - Alliant,GWAC,4732,"FEDERAL ACQUISITION SERVICE",true,gsa_alliant_2,curated,"Original GSA Alliant GWAC."
gsa_alliant_2,Alliant 2,GWAC - Alliant 2,GWAC,4732,"FEDERAL ACQUISITION SERVICE",true,,curated,"Current-generation Alliant 2 GWAC."
gsa_oasis_unrestricted,One Acquisition Solution for Integrated Services Unrestricted,OASIS Unrestricted,GWAC,4732,"FEDERAL ACQUISITION SERVICE",true,gsa_oasis_plus,curated,"OASIS unrestricted pool contracts use OADU PIID stems."
gsa_oasis_small_business,One Acquisition Solution for Integrated Services Small Business,OASIS SB,GWAC,4732,"FEDERAL ACQUISITION SERVICE",true,gsa_oasis_plus,curated,"OASIS small-business pool contracts use OADS PIID stems."
gsa_oasis_plus,OASIS Plus,OASIS+,GWAC,4732,"FEDERAL ACQUISITION SERVICE",true,,curated,"Successor placeholder so legacy OASIS rows can link forward cleanly."
gsa_eis,Enterprise Infrastructure Solutions,EIS,IDIQ,4732,"FEDERAL ACQUISITION SERVICE",true,,curated,"Governmentwide telecommunications and network-services vehicle."
gsa_astro,ASTRO,ASTRO,IDIQ,4732,"FEDERAL ACQUISITION SERVICE",true,,curated,"GSA ASTRO family for manned/unmanned and space systems support."
gsa_mas,GSA Multiple Award Schedule,GSA MAS,Schedule,4732,"FEDERAL ACQUISITION SERVICE",true,,curated,"Broad catchall for legacy and MAS schedule PIIDs after more specific GSA vehicle patterns."
nasa_sewp_v,Solutions for Enterprise-Wide Procurement V,SEWP V,GWAC,8000,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",true,,curated,"NASA SEWP V groups and set-aside pools share NNG15S PIID stems."
nasa_jpl_ffrdc,Jet Propulsion Laboratory FFRDC,JPL,IDIQ,8000,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",false,,curated,"Caltech-operated JPL sponsorship agreements and successor contracts."
nih_cio_sp3,Chief Information Officer-Solutions and Partners 3,CIO-SP3,GWAC,7529,"NATIONAL INSTITUTES OF HEALTH",true,nih_cio_sp4,curated,"NIH NITAAC CIO-SP3 GWAC family."
nih_cio_sp4,Chief Information Officer-Solutions and Partners 4,CIO-SP4,GWAC,7529,"NATIONAL INSTITUTES OF HEALTH",true,,curated,"Successor placeholder so CIO-SP3 rows can link forward cleanly."
