ref_piid,total_obligated,action_count,exact_distinct_ref_piid_all_years
36W79720D0001,48416681879.16,19246,1430550
VA797P12D0001,45484932805.77,41384,1430550
36C10G19D0038,41173377239.39,131,1430550
36C79119D0006,34629771413.05,116,1430550
36C79119D0005,26688374913.91,100,1430550
DAAA0902D0007,26197963112.78,2998,1430550
36C79119D0004,25661321168.00,116,1430550
V797P1020,23996917915.44,81034,1430550
VA79113D0054,21260426066.36,346,1430550
80NM0018D0004,19485624236.81,12448,1430550
FA852612D0001,14010115659.26,2563,1430550
NAS703001,12391128204.46,13203,1430550
NNN12AA01C,11803341317.24,13136,1430550
SPM2DX13D1000,10925139283.89,188056,1430550
W52P1J07D0008,10731708261.83,480,1430550
SPE2DX16D1500,10419030183.47,143204,1430550
AIDOAAI1500004,10337684271.95,333,1430550
FA870215D0001,10276738110.52,2855,1430550
FA820518D0001,9494423214.80,895,1430550
FA863420D2704,9253694951.45,162,1430550
70B01C26D00000012,8834288051.70,18,1430550
FA862516D6458,8260051248.36,995,1430550
SPE8EJ21D1020,8018730381.84,1232,1430550
36C10B18D5000,7896392079.01,697,1430550
N0002400D6000,7889607027.63,26408,1430550
FA862016G3027,7848648408.50,2226,1430550
FA852621D0001,7713059599.58,501,1430550
W52P1J07D0007,7623535839.40,568,1430550
W900KK07D0001,7569851984.32,8550,1430550
GS00Q14OADU108,7183834279.83,2287,1430550
SPE8EJ21D0020,6997251178.39,23757,1430550
SPE60521D1004,6888449293.51,1352,1430550
DTFA0102D03006,6887930929.62,1641,1430550
47QTCK18D0004,6871997873.45,1923,1430550
N0001914G0020,6692332325.84,1399,1430550
W56HZV07DM112,6468027319.95,1735,1430550
TMHQ10C0044,6309145687.39,1350,1430550
F3365799D0028,6304121693.80,3784,1430550
H9225417D0001,6192513392.80,8406,1430550
GS35F4076D,6112605398.30,78741,1430550
N0001919G0008,5885408523.11,1092,1430550
V797P99PPV0001,5826793967.94,1141,1430550
2031JG20D00010,5820674778.22,1757,1430550
W31P4Q23D0003,5811721090.47,114,1430550
47QTCK18D0009,5725825793.75,1003,1430550
FA862520D3000,5672873692.11,456,1430550
FA861614D6060,5656149736.95,2200,1430550
FA862011G4025,5582149085.23,1837,1430550
W52P1J19D0044,5488201002.14,435,1430550
N0017804D4119,5304737906.64,14342,1430550
